Customer ID,TotalTransactions,TotalSpent,FirstPurchase,LastPurchase,Recency,Frequency,MonetaryValue,AvgOrderValue,Churn
12346.0,46,-64.68,2009-12-14 08:34:00,2010-10-04 16:33:00,67,46,-64.68,-1.4060869565217393,0
12347.0,71,1323.32,2010-10-31 14:20:00,2010-12-07 14:57:00,3,71,1323.32,18.63830985915493,0
12348.0,20,222.16,2010-09-27 14:59:00,2010-09-27 14:59:00,74,20,222.16,11.108,0
12349.0,107,2646.99,2009-12-04 12:49:00,2010-10-28 08:23:00,43,107,2646.99,24.73822429906542,0
12351.0,21,300.93,2010-11-29 15:23:00,2010-11-29 15:23:00,11,21,300.93,14.33,0
12352.0,18,343.8,2010-11-12 10:20:00,2010-11-29 10:07:00,11,18,343.8,19.1,0
12353.0,20,317.76,2010-10-27 12:44:00,2010-10-27 12:44:00,44,20,317.76,15.888,0
12355.0,22,488.21000000000004,2010-05-21 11:59:00,2010-05-21 11:59:00,203,22,488.21000000000004,22.191363636363636,1
12356.0,84,3562.25,2010-10-11 09:42:00,2010-11-24 12:24:00,16,84,3562.25,42.407738095238095,0
12357.0,165,12079.99,2010-11-16 10:05:00,2010-11-16 14:29:00,24,165,12079.99,73.2120606060606,0
12358.0,58,2719.01,2009-12-08 07:59:00,2010-11-29 10:56:00,11,58,2719.01,46.879482758620696,0
12359.0,121,2469.36,2009-12-05 13:32:00,2010-10-10 11:16:00,61,121,2469.36,20.40793388429752,0
12360.0,89,1550.83,2010-02-22 09:32:00,2010-11-25 11:04:00,15,89,1550.83,17.42505617977528,0
12361.0,19,321.35,2010-01-26 14:37:00,2010-09-03 15:19:00,98,19,321.35,16.913157894736845,1
12362.0,1,130.0,2009-12-01 10:10:00,2009-12-01 10:10:00,374,1,130.0,130.0,1
12366.0,3,500.24,2010-03-16 10:28:00,2010-03-16 10:28:00,269,3,500.24,166.74666666666667,1
